PrecinctName,CityName,SeattleCouncilDistrict
SEA 36-1716,Seattle,7
SEA 36-1717,Seattle,7
SEA 36-1718,Seattle,7
SEA 36-1719,Seattle,7
SEA 36-1720,Seattle,7
SEA 36-1721,Seattle,7
SEA 36-1722,Seattle,7
SEA 36-1723,Seattle,7
SEA 36-1724,Seattle,7
SEA 36-1725,Seattle,7
SEA 36-1726,Seattle,7
SEA 36-1727,Seattle,7
SEA 36-1729,Seattle,7
SEA 36-1730,Seattle,7
SEA 36-1731,Seattle,7
SEA 36-1732,Seattle,7
SEA 36-1734,Seattle,7
SEA 36-1735,Seattle,7
SEA 36-1736,Seattle,7
SEA 36-1737,Seattle,7
SEA 36-1738,Seattle,7
SEA 36-1739,Seattle,7
SEA 36-1740,Seattle,7
SEA 36-1741,Seattle,7
SEA 36-1742,Seattle,7
SEA 36-1743,Seattle,7
SEA 36-1744,Seattle,7
SEA 36-1746,Seattle,7
SEA 36-1747,Seattle,7
SEA 36-1748,Seattle,7
SEA 36-1749,Seattle,7
SEA 36-1750,Seattle,7
SEA 36-1751,Seattle,7
SEA 36-1752,Seattle,7
SEA 36-1754,Seattle,7
SEA 36-1755,Seattle,7
SEA 36-1756,Seattle,7
SEA 36-1757,Seattle,7
SEA 36-1758,Seattle,7
SEA 36-1759,Seattle,7
SEA 36-1760,Seattle,7
SEA 36-1761,Seattle,7
SEA 36-1762,Seattle,7
SEA 36-1763,Seattle,7
SEA 36-1764,Seattle,7
SEA 36-1765,Seattle,7
SEA 36-1766,Seattle,7
SEA 36-1767,Seattle,7
SEA 36-1768,Seattle,7
SEA 36-1769,Seattle,7
SEA 36-1771,Seattle,7
SEA 36-1803,Seattle,7
SEA 36-1805,Seattle,7
SEA 36-1806,Seattle,7
SEA 36-1808,Seattle,7
SEA 36-1812,Seattle,7
SEA 36-1813,Seattle,7
SEA 36-1815,Seattle,7
SEA 36-1816,Seattle,7
SEA 36-2116,Seattle,6
SEA 36-2117,Seattle,6
SEA 36-2118,Seattle,6
SEA 36-2119,Seattle,6
SEA 36-2120,Seattle,6
SEA 36-2121,Seattle,6
SEA 36-2125,Seattle,5
SEA 36-2126,Seattle,5
SEA 36-2130,Seattle,5
SEA 36-2131,Seattle,5
SEA 36-2133,Seattle,5
SEA 36-2134,Seattle,5
SEA 36-2146,Seattle,6
SEA 36-2147,Seattle,6
SEA 36-2148,Seattle,6
SEA 36-2149,Seattle,6
SEA 36-2161,Seattle,6
SEA 36-2162,Seattle,6
SEA 36-2163,Seattle,6
SEA 36-2164,Seattle,6
SEA 36-2165,Seattle,6
SEA 36-2166,Seattle,6
SEA 36-2167,Seattle,6
SEA 36-2168,Seattle,6
SEA 36-2170,Seattle,6
SEA 36-2171,Seattle,6
SEA 36-2172,Seattle,6
